"week","new_cases","new_deaths","icu_patients","hosp_patients","stringency_index","temp","humidity","precip","windspeed","school","work","stayhome","events","transport"
"2020-07-27",335.857142857143,2.92857142857143,19,69.4285714285714,45.37,18.9,70.0714285714286,0.425142857142857,24.3,1,2,1,1,0
"2020-08-03",538.142857142857,1.28571428571429,28.2857142857143,82.2857142857143,45.37,21.6,64.8142857142857,0.598714285714286,18.7714285714286,1,2,1,1,0
"2020-08-10",631.142857142857,2.14285714285714,34,115.142857142857,45.37,24.6428571428571,71.6,1.771,17.5142857142857,1,2,1,1,0
"2020-08-17",531.857142857143,4,41.1428571428571,130.142857142857,50.1357142857143,20.4428571428571,76.4142857142857,3.55185714285714,28.2571428571429,1,2,1,1,0
"2020-08-24",514.714285714286,3.42857142857143,36.2857142857143,108.285714285714,50.93,16.3285714285714,83.0428571428571,6.04485714285714,35.3285714285714,1,2,1,1,0
"2020-08-31",709.714285714286,3,33.4285714285714,95.8571428571429,50.93,15.1571428571429,79.0428571428571,4.35057142857143,22.1,1,2,1,1,0
"2020-09-07",1121.85714285714,1.57142857142857,33,128.571428571429,50.93,15.9428571428571,82.3,0.246,22.1714285714286,1,2,1,1,0
"2020-09-14",1804.42857142857,3.71428571428571,57.2857142857143,217.428571428571,50.5328571428571,16.8714285714286,72.0714285714286,0,20.3571428571429,1,2,1,1,0
"2020-09-21",2657.85714285714,13.8571428571429,107.285714285714,396.285714285714,48.15,14.1857142857143,81.6571428571429,5.54871428571429,27.6285714285714,1,2,1,1,0
"2020-09-28",3709.42857142857,11.4285714285714,152.142857142857,566.285714285714,60.0557142857143,13.7428571428571,89.1,3.11642857142857,24.4857142857143,1,2,1,1,0
"2020-10-05",5865.42857142857,18.5714285714286,218,856.285714285714,62.04,11.6714285714286,85.0142857142857,9.72385714285714,31.4857142857143,1,2,1,2,0
"2020-10-12",7824.42857142857,23.8571428571429,314.857142857143,1182.57142857143,62.04,9.65714285714286,82.1571428571429,0.238714285714286,18.3285714285714,1,2,1,2,0
"2020-10-19",9343.14285714286,42.1428571428571,453.428571428571,1529.14285714286,62.04,12.4142857142857,86.0285714285714,2.77885714285714,31.6428571428571,1,2,1,2,0
"2020-10-26",9513.85714285714,55.4285714285714,552.428571428571,1832.28571428571,62.04,11.9142857142857,86.2571428571429,3.53657142857143,35.0857142857143,1,2,1,2,0
"2020-11-02",6665.28571428571,81.5714285714286,602.571428571429,1884,64.6828571428571,9.38571428571429,83.8571428571429,0.621571428571429,24.0857142857143,1,2,1,2,0
"2020-11-09",5428.42857142857,69,598.428571428571,1614.57142857143,65.74,11.3714285714286,89.6571428571429,2.09971428571429,24,1,2,1,2,0
"2020-11-16",5313,58,557.142857142857,1469.85714285714,64.4171428571428,9.92857142857143,82.1142857142857,1.57157142857143,31.6285714285714,1,2,1,2,0
"2020-11-23",4816.42857142857,65.4285714285714,521.428571428571,1291.85714285714,56.48,6.21428571428571,89.9,0.611571428571429,18.1285714285714,1,2,1,2,0
"2020-11-30",5841.42857142857,48.4285714285714,472.285714285714,1166.71428571429,56.48,4.82857142857143,88.8857142857143,2.92457142857143,24.8571428571429,1,2,1,2,0
"2020-12-07",8249.42857142857,51.5714285714286,475.142857142857,1219.57142857143,56.48,3.57142857142857,93.6285714285714,1.89742857142857,20.9571428571429,1,2,1,2,0
"2020-12-14",11289.2857142857,63.2857142857143,539.714285714286,1461,74.4685714285714,8.35714285714286,90.7857142857143,0.962857142857143,26.3714285714286,2,2,1,2,0
"2020-12-21",9941.71428571429,72.4285714285714,603.142857142857,1701.71428571429,78.7,6.9,90,10.9004285714286,36.2571428571429,3,3,1,2,1
"2020-12-28",8199.28571428571,87.8571428571429,697.571428571429,2010.42857142857,78.7,3.21428571428571,92.0857142857143,2.493,18.8428571428571,3,3,1,2,1
"2021-01-04",7232.85714285714,107,711.571428571429,2018.85714285714,78.7,2.34285714285714,89.0285714285714,1.28228571428571,21.0428571428571,3,3,1,2,1
"2021-01-11",5592.28571428571,92.1428571428571,689.571428571429,1813.14285714286,78.7,3.42857142857143,83.4142857142857,2.17842857142857,27.7714285714286,3,3,1,2,1
"2021-01-18",5105.57142857143,76.2857142857143,679.428571428571,1695.85714285714,79.76,5.51428571428571,83.8571428571429,3.853,34.3,3,3,1,2,1
"2021-01-25",4116.14285714286,65.4285714285714,654.142857142857,1630.42857142857,82.41,3.22857142857143,87.0285714285714,3.43142857142857,28.5,3,3,2,2,1
